symbol,name,market_cap,last_price,avg_daily_volume_value,sector,industry,red_flag_status,red_flag_reasons,tech_trend,tech_momentum,tech_volume,tech_relative_strength,technical_score,tech_data_coverage
NAM-INDIA.NS,Nippon Life India Asset Management Limited,524528648192,823.1,722300558.9143798,Financial Services,Asset Management,PASS,,37.5,45.0,16.666666666666668,100.0,44.95833333333334,1.0
MFSL.NS,Max Financial Services Limited,561992499200,1627.4,1372070086.011739,Financial Services,Insurance - Life,PASS,,37.5,45.0,16.666666666666668,100.0,44.95833333333334,1.0
LTF.NS,L&T Finance Limited,643627220992,257.0,2209238480.672656,Financial Services,Credit Services,PASS,,37.5,45.0,16.666666666666668,100.0,44.95833333333334,1.0
TFCILTD.NS,Tourism Finance Corporation of India Limited,29389795328,63.48,525965681.85945904,Financial Services,Credit Services,PASS,,37.5,45.0,16.666666666666668,100.0,44.95833333333334,1.0
SBILIFE.NS,SBI Life Insurance Company Limited,1912853233664,1907.1,1791628951.676896,Financial Services,Insurance - Life,PASS,,37.5,45.0,16.666666666666668,100.0,44.95833333333334,1.0
EICHERMOT.NS,Eicher Motors Limited,1848192008192,6737.5,4373116493.033334,Consumer Cyclical,Auto Manufacturers,PASS,,37.5,45.0,16.666666666666668,100.0,44.95833333333334,1.0
SJS.NS,S.J.S. Enterprises Limited,49537650688,1549.2,206410326.66888428,Consumer Cyclical,Auto Parts,PASS,,37.5,45.0,16.666666666666668,100.0,44.95833333333334,1.0
KRYSTAL.NS,Krystal Integrated Services Limited,8002435584,572.75,26906228.29703369,Industrials,Specialty Business Services,PASS,,37.5,45.0,16.666666666666668,100.0,44.95833333333334,1.0
YUKEN.NS,Yuken India Limited,9595738112,706.4,5594882.42384847,Industrials,Specialty Industrial Machinery,PASS,,20.0,65.0,16.666666666666668,100.0,44.83333333333334,1.0
ZYDUSLIFE.NS,Zydus Lifesciences Limited,907266555904,901.35,662652041.5063537,Healthcare,Drug Manufacturers - Specialty & Generic,PASS,,35.0,47.5,16.666666666666668,100.0,44.83333333333334,1.0
COFORGE.NS,Coforge Limited,365401538560,1087.8,4685210548.157625,Technology,Information Technology Services,PASS,,35.0,47.5,16.666666666666668,100.0,44.83333333333334,1.0
KALPATARU.NS,Kalpataru Limited,60610785280,294.35,43072121.04697876,Real Estate,Real Estate - Development,PASS,,30.0,37.5,40.0,100.0,44.75000000000001,1.0
GALAPREC.NS,Gala Precision Engineering Limited,9625037824,752.1,15083942.877124023,Industrials,Specialty Industrial Machinery,PASS,,40.0,32.5,30.0,100.0,44.75000000000001,1.0
CAPLIPOINT.NS,Caplin Point Laboratories Limited,124838961152,1639.6,118297903.80883789,Healthcare,Drug Manufacturers - Specialty & Generic,PASS,,30.0,37.5,40.0,100.0,44.75000000000001,1.0
V2RETAIL.NS,V2 Retail Limited,70119800832,1923.0,199545911.96746013,Consumer Cyclical,Apparel Retail,PASS,,32.5,50.0,16.666666666666668,100.0,44.70833333333334,1.0
GRPLTD.NS,GRP Limited,9599464448,1799.9,3475351.4728719075,Consumer Cyclical,Auto Parts,PASS,,22.5,52.5,30.0,100.0,44.62500000000001,1.0
AMNPLST.NS,Amines & Plasticizers Limited,8326726656,151.34,1009915.7498677572,Basic Materials,Chemicals,PASS,,35.0,37.5,30.0,100.0,44.50000000000001,1.0
LANDMARK.NS,Landmark Cars Limited,15012392960,361.55,32907495.32753296,Consumer Cyclical,Auto & Truck Dealerships,PASS,,20.0,55.0,30.0,100.0,44.50000000000001,1.0
PRIMESECU.NS,Prime Securities Limited,9029351424,266.35,9030832.573723348,Financial Services,Capital Markets,PASS,,25.0,42.5,40.0,100.0,44.5,1.0
USHAMART.NS,Usha Martin Limited,123294490624,404.35,294285240.80212504,Basic Materials,Steel,PASS,,25.0,42.5,40.0,100.0,44.5,1.0
HINDCOPPER.NS,Hindustan Copper Limited,473927876608,489.9,10181647253.005825,Basic Materials,Copper,PASS,,42.5,37.5,16.666666666666668,100.0,44.45833333333334,1.0
SCI.NS,Shipping Corporation Of India Limited,109881982976,235.9,2277355886.457907,Industrials,Marine Shipping,PASS,,42.5,37.5,16.666666666666668,100.0,44.45833333333334,1.0
